ccaa,monumento,jardin,conjunto,sitio,arqueologia,centroX,centroY
Andalucia,21.4,17.6,17.1,12.5,15,450.0,640.0
Aragon,4.8,0,7.1,4.6,3.1,725.0,276.0
Asturias (Principado de),2.3,0,3.4,5.2,0.9,355.0,100.0
Balears (Illes),15.7,11,4.5,4.6,37.7,994.0,452.0
Canarias,2.7,13.2,6.3,13.4,6.6,927.0,749.0
Cantabria,1.5,4.4,2.5,1.3,2.6,492.0,108.0
Castilla y Leon,7.3,5.5,18.2,5,8.6,429.0,248.0
Castilla-La Mancha,5.1,0,3.8,3.3,3.1,579.0,459.0
Catalunya,15.4,6.6,9.6,10.2,5.7,887.0,255.0
Comunitat Valenciana,7.3,6.6,4.4,6.3,9.6,732.0,470.0
Extremadura,1.5,1.1,4.4,3.5,0.9,334.0,479.0
Galicia,4.6,6.6,5.2,14.2,0.6,216.0,155.0
Madrid (Comunidad de),2.8,26.4,2.2,1.7,2.1,518.0,370.0
Murcia (Region de),3.4,0,1.3,3.1,1.9,678.0,604.0
Navarra (Comunidad Foral de),1.1,0,2,1,1,666.0,157.0
Pais Vasco,2,0,1.6,0,0.1,598.0,117.0
Rioja (La),0.8,1.1,0.8,10,0.2,598.0,201.0
Ceuta,0.3,0,5.4,0,0.1,397.0,801.0
Melilla,0.1,0,0.1,0,0,692.0,817.0
