Comunidad Autónoma;Monumento;Jardín histórico;Conjunto histórico;Sitio histórico;Zona arqueológica
    Andalucía;21,4;17,6;17,1;12,5;15,0
    Aragón;4,8;0,0;7,1;4,6;3,1
    Asturias (Principado de);2,3;0,0;3,4;5,2;0,9
    Balears (Illes);15,7;11,0;4,5;4,6;37,7
    Canarias;2,7;13,2;6,3;13,4;6,6
    Cantabria;1,5;4,4;2,5;1,3;2,6
    Castilla y León;7,3;5,5;18,2;5,0;8,6
    Castilla-La Mancha;5,1;0,0;3,8;3,3;3,1
    Cataluña;15,4;6,6;9,6;10,2;5,7
    Comunitat Valenciana;7,3;6,6;4,4;6,3;9,6
    Extremadura;1,5;1,1;4,4;3,5;0,9
    Galicia;4,6;6,6;5,2;14,2;0,6
    Madrid (Comunidad de);2,8;26,4;2,2;1,7;2,1
    Murcia (Región de);3,4;0,0;1,3;3,1;1,9
    Navarra (Comunidad Foral de);1,1;0,0;2,0;1,0;1,0
    País Vasco;2,0;0,0;1,6;0,0;0,1
    Rioja (La);0,8;1,1;0,8;10,0;0,2
    Ceuta;0,3;0,0;5,4;0,0;0,1
    Melilla;0,1;0,0;0,1;0,0;0,0
