875,896,932,946,960,967,1104,2056,2084,2198,2218,2226,2229
143,147,154,159,165,167,188,261,269,336,338,335,334
47,48,48,50,52,52,54,68,68,68,69,69,70
6,6,6,6,6,6,7,14,14,19,19,19,19
92,90,99,100,103,104,160,823,828,828,834,837,840
120,124,133,134,134,135,141,143,146,146,149,148,148
41,42,43,43,43,43,49,51,52,56,56,57,57
144,155,159,159,160,162,182,185,187,188,190,191,191
37,37,39,44,45,45,51,65,66,66,69,71,70
90,90,90,90,90,90,94,96,96,127,127,129,128
52,52,53,53,53,53,59,210,212,213,215,215,215
14,14,14,14,14,14,15,18,19,20,20,21,21
4,5,5,5,5,5,9,13,13,14,14,14,14
41,41,41,41,41,42,43,47,47,47,47,47,47
23,24,27,27,27,27,29,38,40,41,41,43,43
16,16,16,16,16,16,16,17,18,18,19,21,22
3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,3,5,5,3,4
1,1,1,1,2,2,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0
