2066,2094,2130,2162,2206,2254,2773,2815,2880,2900,2903,2997,3027,3096,3249,3391,3510
570,664,711,725,740,751,766,777,781,782,782,786,788,801,807,807,814
259,259,266,275,280,295,302,322,329,333,351,355,357,365,385,388,389
2880,2885,2917,2952,2972,2982,3003,3003,3015,3018,3036,3043,3052,3055,3064,3063,3066
379,406,444,510,554,569,590,597,602,606,622,629,633,638,644,644,648
235,237,257,280,289,294,297,297,297,277,281,282,286,291,292,293,293
1172,1177,1187,1232,1234,1262,1278,1284,1300,1305,1325,1366,1378,1384,1394,1397,1400
653,663,691,706,716,735,750,761,767,771,773,787,788,791,804,807,814
2134,2139,2149,2159,2162,2172,2190,2199,2203,2210,2242,2263,2315,2361,2369,2380,2385
837,882,891,893,925,970,995,999,1055,1059,1085,1182,1196,1208,1263,1286,1293
244,244,244,245,248,250,252,253,254,255,260,265,274,280,287,290,290
639,640,643,643,646,652,661,665,667,669,674,717,718,760,766,767,769
450,453,456,460,463,471,473,474,474,475,477,480,480,485,489,488,486
409,410,416,417,424,426,440,441,509,510,510,514,520,527,528,533,534
149,154,158,158,161,164,165,166,169,187,189,191,189,187,189,191,192
281,281,281,281,281,284,284,284,284,284,286,287,287,287,287,287,287
154,154,156,158,158,159,158,158,158,158,159,159,165,173,183,182,173
0,90,0,0,0,90,91,92,94,94,95,95,95,95,96,96,96
0,0,0,0,0,10,11,11,11,11,11,11,11,11,11,12,11
