10,13,15,15,18,20,35,46,47,49,50,54,60
20,20,22,22,22,22,22,22,22,22,22,22,22
2,2,2,2,2,2,4,4,5,6,24,25,25
10,12,15,13,15,15,18,20,20,20,21,22,22
35,39,41,41,49,52,55,57,57,60,62,62,64
4,4,4,4,4,4,6,6,6,6,6,6,6
13,14,14,15,17,18,19,19,20,21,23,22,24
5,5,6,6,7,7,10,11,11,11,11,11,16
10,10,10,10,10,10,10,21,22,24,24,36,49
13,15,16,16,17,17,17,17,17,17,19,28,30
6,6,7,7,8,8,9,11,14,16,16,17,17
14,14,15,15,15,16,19,31,32,68,68,68,68
6,6,6,6,6,6,7,7,7,7,7,7,8
7,7,7,7,8,8,9,9,11,12,12,14,15
1,2,2,2,2,5,5,5,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0
11,41,41,41,41,41,42,42,42,47,57,58,48
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
